Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				and			y					Cha ta tsana'a koo nikanchii nitsio .	And when a long time ago the sun did not exist.	Y hace mucho tiempo cuando el sol no existía.
naku'un yu		Why is this in 1sg!?		I go			me voy					Cha naku'un yu chi ñuu Nkuiin , ñuu Nkuiin tsi yuu , cha nantakita'an ñuu ra ika , kusava'a veñu'u .	And I'll go to (the town of (?)), (the town of (?)) with stone, and gather (?) there, to make the church.	Y yo me voy a (pueblo de (?)), (pueblo de (?)) con piedra,  a coleccionar (?) allí, para construir la iglesia.
yutu				tree			árbol					Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
yuu				rock			piedra					— Na satutu ko yuu , mee so yuu , cha nasava'a veñu'u , nanchee nchii kuu ña veñu'u che'e ka koo , che'e ka kana .	Let's collect stones, every stone and let's make	
yuu				stone			piedra					— Na satutu ko yuu , mee so yuu , cha nasava'a veñu'u , nanchee nchii kuu ña veñu'u che'e ka koo , che'e ka kana .	Let's collect stones, every stone and let's make	
				many rocks			muchas piedras					Ika kuu nuu ntee kue yuu , mee so yuu nchaa , yuu nchu'a , ntaa , kuu ña ntoyo ika .	There were many rocks living there, so many big rocks, lot's of rocks, they were laying there.	Había muchas piedras vivieron allí, tantas piedras grandes, estaban allí.
kue yuu				the rocks			las piedra					Ika ntee kue yuu na'nu , yuu va'a kue tuku .	There is where the old rocks lived, (?)/	Allí es donde las piedras vivieron,(?)
kue yuu				the rocks			las piedras					Ika nikitsaa kuera cha ntsinu nikanchii , cha ma nikuu ka kuva'a veñu'u Xnuviko vari ntsi'i kue yuu ka .	They arrived there and the sun came out, and they weren't able to build the church of Mixtepec because the rock died.	Llegaron allí y el sol salió, y no pudieron construir la iglesia de Mixtepec porque murieron la piedra.
ñaño'o		what is the "ña-" doing here? Would the meaning be different if it wasn't included.										Ñaño'o ra tu'un yata tsa'a uvi veñu'u .	This story is about the two churches of our town.	Este cuento trata de dos iglesias de nuestro pueblo.
ño'o				that			aquel					Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
ña												Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
ña		is this it?		it								Ian veñu'u Ntisnuu , ra in veñu'un ña ñuu ña kuu Xnuviko yo'o .	There was a church in Tlaxiaco, and one in this town of Mixtepec.	Había una iglasia en Tlaxiaco, y una en este pueblo de Mixtepec.
ña				that			que					In kii , ntakita'an kue ntiyata , cha ntatu'un ra , ra nikachi na ña kusava'a na uvi veñu'u ; ian Ntisnuu , ian ñuu Xnuviko .	One day the elder inhabitants gathered together and had a discussion, they said that they will make two churches, one in Tlaxiaco, one in Mixtepec.	Un día los habitantes ancianos se reuniron y discutieron, dijeron que van a construir dos iglesias, una en Tlaxiaco, una en Mixtepec.
ña				lo			la					— Vichi ra ntsinu veñu'u Ntisnuu yo'o , cha sa'u ñamani ña kuain nchau ña .	Now this church of Tlaxiaco is finished, do us a favor and kick it down.	Ahora esta iglesia de Tlaxiaco está acabada, háganos un favor y pateala abajo.
tatsi kuera ña				they chase it	it		la persiguen	la				Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
kuu ña		check this phrase with speakers		were	were lying		estaban					Ika kuu nuu ntee kue yuu , mee so yuu nchaa , yuu nchu'a , ntaa , kuu ña ntoyo ika .	There were many rocks living there, so many big rocks, lot's of rocks, they were laying there.	Había muchas piedras vivieron allí, tantas piedras grandes, estaban allí.
ña				them			ellas					Cha ma nikuu ka tatsi kuera ña nuu ñuu .	And they weren't able to follow it into the town.	Y no pudieron seguirla en el pueblo.
ñaka												Vatsia , cha ñaka kua nikitsaa kue chaa , vatsia ñuu Nkuiin , nikitsaa kuera nuu ñuu nani Yuku  Mi'in tsi yuu .	They came, and (?)...(?) the men arrived, they came to (placeName), they arrived at a town called (placeName) with the rocks.	Vinieron, y (?)...(?) los hombres vinieron, llegaron (a|de) (?), llegaron a un pueblo llamado (placeName) con las piedras.
ñamani				favor			favor					— Vichi ra ntsinu veñu'u Ntisnuu yo'o , cha sa'u ñamani ña kuain nchau ña .	Now this church of Tlaxiaco is finished, do us a favor and kick it down.	Ahora esta iglesia de Tlaxiaco está acabada, háganos un favor y pateala abajo.
ñoo				our town			nuestro pueblo					Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
ñu'u		check		land? ground?								Cha satutu kuera yuu , cha nikitsaa kuera sava'a ra xina ñu'u veñu'u Ntisnuu .	And so they collected rocks and they began to make the (?) of the church of Tlaxiaco.	Y entonces coleccionaron piedras y empezaron a hacer (?) de la iglesia de Tlaxiaco.
ñuu				town			pueblo					Ian veñu'u Ntisnuu , ra in veñu'un ña ñuu ña kuu Xnuviko yo'o .	There was a church in Tlaxiaco, and one in this town of Mixtepec.	Había una iglasia en Tlaxiaco, y una en este pueblo de Mixtepec.
ñuu xnuviko				the town of San Juan Mixtepec			la cuidad de San Juan Mixtepec					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
chi ñuu nkuiin				to (the town of (?))			al (pueblo de (?)					Cha naku'un yu chi ñuu Nkuiin , ñuu Nkuiin tsi yuu , cha nantakita'an ñuu ra ika , kusava'a veñu'u .	And I'll go to (the town of (?)), (the town of (?)) with stone, and gather (?) there, to make the church.	Y yo me voy a (pueblo de (?)), (pueblo de (?)) con piedra,  a coleccionar (?) allí, para construir la iglesia.
ñuu nkuiin				(the town of (?))			(pueblo de (?))					Cha naku'un yu chi ñuu Nkuiin , ñuu Nkuiin tsi yuu , cha nantakita'an ñuu ra ika , kusava'a veñu'u .	And I'll go to (the town of (?)), (the town of (?)) with stone, and gather (?) there, to make the church.	Y yo me voy a (pueblo de (?)), (pueblo de (?)) con piedra,  a coleccionar (?) allí, para construir la iglesia.
vatsia ñuu nkuiin				came to (?)	came from (?)	town	vinó a (?)	vinó de (?)	pueblo			Vatsia , cha ñaka kua nikitsaa kue chaa , vatsia ñuu Nkuiin , nikitsaa kuera nuu ñuu nani Yuku  Mi'in tsi yuu .	They came, and (?)...(?) the men arrived, they came to (placeName), they arrived at a town called (placeName) with the rocks.	Vinieron, y (?)...(?) los hombres vinieron, llegaron (a|de) (?), llegaron a un pueblo llamado (placeName) con las piedras.
ñuu				town	to the town		pueblo	al pueblo				Cha ma nikuu ka tatsi kuera ña nuu ñuu .	And they weren't able to follow it into the town.	Y no pudieron seguirla en el pueblo.

