Orth	  Pron(1)	 Pron(Pastor and Beam de Azcona)	 Pron(Pike and Ibach)	 Pron	 Pron	 Dom(sense1.i)	 Dom(sense1.ii)	 POS(sense1)	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 LA (sense1.i)	  LA (sense1.ii)	 Def(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	 Dom(sense2.i)	 Dom(sense2.ii)	 POS(sense2)	 EN(sense2.i)	 EN(sense2.ii)	 EN(sense2.iii)	 ES (sense2.i)	 ES(sense2.ii)	  ES(sense2.iii)	 Def(sense2)	 Example (sense 2)	 Example (sense 2) (EN)	 Example (sense 2) (ES)
nta'a ncho'a								verb	to get fat			engordar						Nta'a nch'u.	You got fat.	Te engordaste.													
siya	sia							verb	to drop			dejar caer																					
kaxi	káʃi					Bodily Function		verb	to sneeze			desornudar																					
kayi	káyi					Bodily Function	Illness	verb	to cough			toser																					
ka'ki'vi						Bodily Function		verb	to hiccup			tener hipo																					
ñe'e	ñéʔé							verb	to scratch			rascar																					
tivisii	tiβisíì							verb	to spit			escupir																					
xichi la'la						health	Illness	adj	runny nose			secreción nasal																					
tsa'an yu'u						health	Hygene		bad breath			mal haliente						Kini tsa'an yu'u ku.	You have bad breath.	Tienes mal haliente.													
tatsa'vi meeni						Manners		interjection	you're welcome			de nada																					
in so						Kinship		verb	to be related			ser pariente						In so ko.	We are related	Somos parientes.													
ka'nu	kaʔnu							verb	to break			quebrar																					
ntasa'a						Economics	Finance	verb	pay back			pagar						Ntasa’a xu’un na ntávi yu	I paid back the money I owed	Pagué el dinero que yo debía.													
tsito						health		verb	to take care			tener cuidado																					
ntakasi								verb	to close			cerrar																					
kuna								verb	to open			abrir						Tsuna yu ye'e ka.	I'm opening the door.	Abro la puerta													
sana						Time		adv	later			despues						Sana va'a ni.	Later is fine	Despues está bien													
tsani	tsáni							verb	to dream			soñar											noun	dream			sueño						
kuiin						Animal		noun	jaguar			jaguar																					
ntika'an	ntikã̀ʔã					Animal		noun	lion	mountain lion	panther	león	puma	pantera			Generally used to describe large predatory cats.																
ña va'a ka						Quality		adj	better			mejor																					
nto'o						health		noun	suffering			sufrimiento																					
tintixi						fruit	food	noun	pomegranate			granada																					
tikii	tikiì					health	skin	noun	blister			ampolla																					
tata	tata					Agriculture		noun	crop			cultivo																					
in ka								adj	last			último						In ka paan inkaa.	There's one last piece of bread.	Queda un último pedazo de pan.			adv										
tatsa ntuu						Time		noun	sunrise			amanecer																					
tatsa ntuu						Time		noun	sunrise			amanecer																					
ntee nikanchii						Time		noun	sunset			atardecer																					
Yoko	jòkò					Folklore	Spirits	noun									A spirit that steals things.																
ntusu						Auditory		noun	sound			sonido																					
ntusu yu'u						Auditory	Speech	noun	voice			voz						ntusu yú’ù	my voice														
tekiu						Community	Labor	noun									Communal labor required of members of the community.																
kuanta’vi						Light		noun	shadow			ombra																					
ntuva	ndúva							verb	to split	to separate		separar																					
ntachi								verb	to split	to separate		separar																					
ka'un	káʔũ							verb	to hurt			lastimar																					
ka'un ana	káʔũ ána							verb	to hurt			lastimar	hacer daño								Emotion			to be sad			estar triste				¿A ka'un ana ku?	Are you sad?	¿Estás triste?
ka'un ini	káʔũ íni							verb	to hurt			lastimar	hacer daño								Emotion			to be sad			estar triste				¿A ka'un ana ku?	Are you sad?	¿Estás triste?
ka'un titsi						health	Illness	verb	to have a stomach ache			tener dolor de estómago						Ká’un titsì.	I have a stomach ache.	Tengo dolor de estómago.	health	Illness	noun	stomach ache			dolor de estómago						
ntaku	ndàku							verb	be strong			ser fuerte											noun	strength			fuerza						
yaa	jaa					Culture	Auditory	noun	music			música																					
kuita xeen						Sleep	health	verb	to be tired			estar cansado																					
kuaán	kwãã́					Biology	Sexuality	verb	to have sex			tener sexo	tener relaciones sexuales																				
tintuu	tintuú					botany	Agriculture	noun	pit			hoyo																					
siva	síva					botany	Agriculture	noun	seed			semilla																					
tivi ini	tívì ini					Alcohol	Alcohol	verb	to have a hangover			tener la cruda						Tivi ini yu.	I have a hangover.	Tengo la cruda.													
si’vi	síʔvi					Nomenclature		verb	to be called			llamarse																					
sta'vi	staʔví							verb	to tell a lie	to lie		mentir						Stà’vu yu	You lied to me.	Me mentiraste.													
kachi ta'an tu'un						Communication	Social Relations	verb	to come to an agreement			llegar a un acuerdo						Nikachi ta’an kue tu’un	We came to an agreement.														
nuu naa								verb	take care of			encargarse de																					
naka								pron	them			ellos																					
ñaka								pron	that (person)			esa persona																					
inñu’un	ĩɲuʔún					Morality	Social Custom	noun	respect			respeto																					
yu'u	júʔú					Emotion		verb	to be scared			tener miedo	estar assustado					Yu'u yu.	I'm scared.	Tengo miedo.													
tsini								verb																									
yoso						Shape		adj	flat			llano									Landscape		noun	plain			llano						
nikaa	nikàa					Degree	Quantity	adv	too much			demasiado						Nikaa ntixi tsi’i ra.	He drank too much pulque.	Bibí demasiado pulque.													
tian								adv	except			excepto	salvo					Ta’an ini yu nti’i so kuñu tian kuñu chuun.	I like all meat except chicken.	Me gustan todas las carnes salvo pollo.													
kuu santi						Time		adv	last			último											noun										
samitu'un								adv	last			último											noun										
tsitu ini						Cognition		verb	to realize			darse cuenta de																					
ntasi						Sense	Kinestetic	verb	to tickle			hacerle cosquillas a																					
boti								noun	bottle			botella																					
cha'ma	tʃáʔma					Insect		noun	larva			capullo																					
stiin						Texture		verb	to stick			pegar																					
tsa’vi	tsàʔví							noun	gum			chicle																					
tavi	táví					health	Senses	noun	pains			dolores																					
ntixii	ntiʃií					Social Behavior	Psychology	adj	selfish			egoista																					
u’u ini						Social Behavior	Psychology	noun	envy	jelousy		enviada																					
kuiñu	kwiɲù					Social Behavior	Psychology	noun	jelousy between siblings			enviada entre hermanos																					
tsantucha	tsantùúcha					Landscape		noun	ocean			oceán																					
nta'a	ndáʔa					Agriculture	botany	verb	grow back			crecer de nuevo																					
kuka nuu						Emotion	Morality	noun	shame			vergüenza									Emotion	Morality	verb	to be ashamed			tener vergüenza				Kuka nuu.	I'm ashamed.	Tengo vergüenza.
tata na'a						Agriculture		noun	first harvest			premier cosecha																					
ko'yo						Weather		adj	humid			húmedo																					
ntu'u								verb	to become			convertirse en																					
ntasaa	ndasaá					Cooking	Temperature	verb	to heat up			calentar						ntuu staa, chikuii	to heat up tortillas, water	calentart tortillas, agua													
ska'ma itu	skà'ma itú					Agriculture	Fungus	noun									Edible fungus that grows on corn kernals.																
vixi						Insult																											
yoo tsika niñu						Astronomy	Moon	noun	full moon			luna llena																					
yoo skuaa						Astronomy	Moon	noun	waning gibbous moon			luna gibous menguante									Astronomy	Moon		waxing gibbous moon			luna menguante gibousa						
yoo sava						Astronomy	Moon	noun	third quarter moon			luna cuarto menguante									Astronomy	Moon		first quarter moon			luna cuarto creciente						
yoo yucha						Astronomy	Moon	noun	waning crescent moon			luna creciente																					
yoo ntsi'i						Astronomy	Moon	noun	new moon			luna nueva																					
yoo ntee						Astronomy	Moon	noun	waxing crescent moon			creciente																					
yoo skuaa						Astronomy	Moon	noun	waxing gibbous moon			luna menguante gibousa																					
sakanari						Games	Sport	verb	to win			ganar																					
sasia'a								verb	to spread			extender																					
sia'a								verb	to pass	to transmit		transmitir																					
satsio								verb	to separate			separar												get away from			escapar de						
skana								verb	to throw			tirar																					
sni'i								verb	to make noise			hacer ruido												to incite			incitar						
stutsi								verb	to hurt			lastimar																					
ntakuatu						Religion	Ritual	verb	to pray	to recite		pregar	recitar																				
kuaa						Vision	Senses	adj	blind			ciego																					
kukuaa						Vision	Senses	verb	to go blind			cegar																					
ñe'e	ɲéʔé							verb	to scrape			raspar																					
inka tuku	iŋk̬àa tùk̬u							adv	again			de nuevo																					
sayo'o						Sleep		verb	yawn			bostezar						Ta kuna kusa cha sayo'o ko.	When we want to sleep, we yawn.	Cuando queremos dormir bostezamos.													
ncha						Elements		noun	liquid			líquido						ncha koó xiko, ncha koó ña ni ka'i, ncha tsika kue yucha, kue miní yuu tsi kue nu ntucha	A liquid without a smell, color, that one finds in rivers, lakes and seas.	Líquido sin olor, sin color, que se encuentra ríos, lagos y mares.													
nche tsatu						Alcohol	Beverage	noun	liquor			aguardiente																					
taan	tã̂ã̄					Natural Phenomena		noun	earthquake			temblor																					
naá	nàá							verb	to finish			terminar																					
chai						Literacy		verb										Chai chaa.	The man is writing	El hombre está escribiendo.													
kutanchii						Posture		verb	lean			inclinar																					
kasi																		ntasi biblioteka yo'o	this library is closed	esta biblioteca está cerrado													
ne'e								verb										Kuyakua nta'a tatu nake'e nuu stau.															
ntutsa								noun																									
tsini vichi						Time		adv	tonight			esta noche																					
kata yaa								verb																									

